week_end_date,period_end_date,period_end_month,period_end_year
2020-06-14,2020-06-28,6,2020
2020-06-21,2020-06-28,6,2020
2020-06-28,2020-06-28,6,2020
2020-07-05,2020-07-26,7,2020
2020-07-12,2020-07-26,7,2020
2020-07-19,2020-07-26,7,2020
2020-07-26,2020-07-26,7,2020
2020-08-02,2020-08-23,8,2020
2020-08-09,2020-08-23,8,2020
2020-08-16,2020-08-23,8,2020
2020-08-23,2020-08-23,8,2020
2020-08-30,2020-09-27,9,2020
2020-09-06,2020-09-27,9,2020
2020-09-13,2020-09-27,9,2020
2020-09-20,2020-09-27,9,2020
2020-09-27,2020-09-27,9,2020
2020-10-04,2020-10-25,10,2020
2020-10-11,2020-10-25,10,2020
2020-10-18,2020-10-25,10,2020
2020-10-25,2020-10-25,10,2020
2020-11-01,2020-11-22,11,2020
2020-11-08,2020-11-22,11,2020
2020-11-15,2020-11-22,11,2020
2020-11-22,2020-11-22,11,2020
2020-11-29,2020-12-27,12,2020
2020-12-06,2020-12-27,12,2020
2020-12-13,2020-12-27,12,2020
2020-12-20,2020-12-27,12,2020
2020-12-27,2020-12-27,12,2020
2021-01-03,2021-01-24,1,2021
2021-01-10,2021-01-24,1,2021
2021-01-17,2021-01-24,1,2021
2021-01-24,2021-01-24,1,2021
2021-01-31,2021-02-21,2,2021
2021-02-07,2021-02-21,2,2021
2021-02-14,2021-02-21,2,2021
2021-02-21,2021-02-21,2,2021
2021-02-28,2021-03-28,3,2021
2021-03-07,2021-03-28,3,2021
2021-03-14,2021-03-28,3,2021
2021-03-21,2021-03-28,3,2021
2021-03-28,2021-03-28,3,2021
2021-04-04,2021-04-25,4,2021
2021-04-11,2021-04-25,4,2021
2021-04-18,2021-04-25,4,2021
2021-04-25,2021-04-25,4,2021
2021-05-02,2021-05-23,5,2021
2021-05-09,2021-05-23,5,2021
2021-05-16,2021-05-23,5,2021
2021-05-23,2021-05-23,5,2021
2021-05-30,2021-06-27,6,2021
2021-06-06,2021-06-27,6,2021
2021-06-13,2021-06-27,6,2021
2021-06-20,2021-06-27,6,2021
2021-06-27,2021-06-27,6,2021
2021-07-04,2021-07-25,7,2021
2021-07-11,2021-07-25,7,2021
2021-07-18,2021-07-25,7,2021
2021-07-25,2021-07-25,7,2021
2021-08-01,2021-08-22,8,2021
2021-08-08,2021-08-22,8,2021
2021-08-15,2021-08-22,8,2021
2021-08-22,2021-08-22,8,2021
2021-08-29,2021-09-26,9,2021
2021-09-05,2021-09-26,9,2021
2021-09-12,2021-09-26,9,2021
2021-09-19,2021-09-26,9,2021
2021-09-26,2021-09-26,9,2021
2021-10-03,2021-10-24,10,2021
2021-10-10,2021-10-24,10,2021
2021-10-17,2021-10-24,10,2021
2021-10-24,2021-10-24,10,2021
2021-10-31,2021-11-21,11,2021
2021-11-07,2021-11-21,11,2021
2021-11-14,2021-11-21,11,2021
2021-11-21,2021-11-21,11,2021
2021-11-28,2021-12-26,12,2021
2021-12-05,2021-12-26,12,2021
2021-12-12,2021-12-26,12,2021
2021-12-19,2021-12-26,12,2021
2021-12-26,2021-12-26,12,2021
2022-01-02,2022-01-23,1,2022
2022-01-09,2022-01-23,1,2022
2022-01-16,2022-01-23,1,2022
2022-01-23,2022-01-23,1,2022
2022-01-30,2022-02-20,2,2022
2022-02-06,2022-02-20,2,2022
2022-02-13,2022-02-20,2,2022
2022-02-20,2022-02-20,2,2022
2022-02-27,2022-03-27,3,2022
2022-03-06,2022-03-27,3,2022
2022-03-13,2022-03-27,3,2022
2022-03-20,2022-03-27,3,2022
2022-03-27,2022-03-27,3,2022
2022-04-03,2022-04-24,4,2022
2022-04-10,2022-04-24,4,2022
2022-04-17,2022-04-24,4,2022
2022-04-24,2022-04-24,4,2022
2022-05-01,2022-05-22,5,2022
2022-05-08,2022-05-22,5,2022
2022-05-15,2022-05-22,5,2022
2022-05-22,2022-05-22,5,2022
2022-05-29,2022-06-26,6,2022
2022-06-05,2022-06-26,6,2022
2022-06-12,2022-06-26,6,2022
2022-06-19,2022-06-26,6,2022
2022-06-26,2022-06-26,6,2022
2022-07-03,2022-07-24,7,2022
2022-07-10,2022-07-24,7,2022
2022-07-17,2022-07-24,7,2022
2022-07-24,2022-07-24,7,2022
2022-07-31,2022-08-21,8,2022
2022-08-07,2022-08-21,8,2022
2022-08-14,2022-08-21,8,2022
2022-08-21,2022-08-21,8,2022
2022-08-28,2022-09-25,9,2022
2022-09-04,2022-09-25,9,2022
2022-09-11,2022-09-25,9,2022
2022-09-18,2022-09-25,9,2022
2022-09-25,2022-09-25,9,2022
2022-10-02,2022-10-23,10,2022
2022-10-09,2022-10-23,10,2022
2022-10-16,2022-10-23,10,2022
2022-10-23,2022-10-23,10,2022
2022-10-30,2022-11-20,11,2022
2022-11-06,2022-11-20,11,2022
2022-11-13,2022-11-20,11,2022
2022-11-20,2022-11-20,11,2022
2022-11-27,2022-12-25,12,2022
2022-12-04,2022-12-25,12,2022
2022-12-11,2022-12-25,12,2022
2022-12-18,2022-12-25,12,2022
2022-12-25,2022-12-25,12,2022
2023-01-01,2023-01-22,1,2023
2023-01-08,2023-01-22,1,2023
2023-01-15,2023-01-22,1,2023
2023-01-22,2023-01-22,1,2023
2023-01-29,2023-02-19,2,2023
2023-02-05,2023-02-19,2,2023
2023-02-12,2023-02-19,2,2023
2023-02-19,2023-02-19,2,2023
2023-02-26,2023-03-26,3,2023
2023-03-05,2023-03-26,3,2023
2023-03-12,2023-03-26,3,2023
2023-03-19,2023-03-26,3,2023
2023-03-26,2023-03-26,3,2023
2023-04-02,2023-04-23,4,2023
2023-04-09,2023-04-23,4,2023
2023-04-16,2023-04-23,4,2023
2023-04-23,2023-04-23,4,2023
2023-04-30,2023-05-21,5,2023
2023-05-07,2023-05-21,5,2023
2023-05-14,2023-05-21,5,2023
2023-05-21,2023-05-21,5,2023
2023-05-28,2023-06-25,6,2023
2023-06-04,2023-06-25,6,2023
2023-06-11,2023-06-25,6,2023
2023-06-18,2023-06-25,6,2023
2023-06-25,2023-06-25,6,2023
